text,created_at,retweet_count,favorite_count,is_retweet,id_str
"We are months into this crisis, and our health care workers are still being forced to reuse masks. It’s unacceptable.

Mr. President, fix the PPE shortages before you tee off for yet another round of golf.",2020-07-16 20:10:00,23958,112709,False,1283856429129125894
"I've said it before, and I'll say it again: Donald Trump is the worst possible person to lead us through a public health crisis. https://t.co/6s6KCGU9KV",2020-07-16 17:37:00,15110,56639,False,1283817925368053760
"I don’t have Bitcoin, and I’ll never ask you to send me any.

But if you want to chip in to help make Donald Trump a one-term President, you can do that here: https://t.co/8XtBjuU5fX",2020-07-16 16:09:00,9924,55584,False,1283795779338084352
"Meeting the threat of climate change presents a once-in-a-lifetime opportunity to jolt new life into our economy. We're going to create millions of high-quality, union jobs by building a modern infrastructure and a clean energy future. https://t.co/zzLLfkPcot",2020-07-15 21:00:00,5402,23379,False,1283506626348167178
"There is no time to waste when it comes to addressing the existential threat of climate change. If I have the honor of being elected president, we'll get to work delivering results on day one. https://t.co/YLuhSkl7ux",2020-07-15 20:02:00,4998,20527,False,1283492028177940485
"President Trump needs to do everything in his power to surge nationwide testing — including developing and evaluating more accurate, affordable, accessible, faster tests so we can reopen safely.

Infection rates are rising at an alarming pace. Mr. President, act now.",2020-07-15 18:50:00,11064,54035,False,1283473908591714311
"Mr. President, “Open everything now,” isn’t a strategy for success. It’s barely a slogan. 

It’s long past time for you to step up and do your job.",2020-07-15 17:00:00,18315,119425,False,1283446227074310144
"This pandemic has gotten bad enough that even Donald Trump finally decided to wear a mask in public.

I’m glad he made that shift — but it’s not enough.

We need real presidential leadership. Right now. https://t.co/Gy4U1RrlYT",2020-07-15 14:45:00,6082,29073,False,1283412252612194304
"We're facing an economic crisis and a climate crisis.  

As president, I'll create millions of jobs building resilient roads and bridges, manufacturing electric vehicles, and weatherizing homes and buildings. 

Learn more: https://t.co/VS3yoJmSzQ https://t.co/IZIfHPTCjU",2020-07-15 00:40:00,4159,16883,False,1283199601001009159
"When I hear the words climate change, I hear the word ""jobs."" Good paying, union jobs that will solve our jobs crisis while addressing our climate crisis. https://t.co/7NRGNXsMI6",2020-07-14 23:47:00,7005,31179,False,1283186263302918144
"Climate change is the challenge that's going to define our American future. And if I have the honor of being elected President, we won't tinker around the edges, we’ll seize this opportunity and meet this moment in history.",2020-07-14 22:35:00,13747,86977,False,1283168143867707392
"When Donald Trump thinks about climate change, all he can muster is one word: “hoax.”
 
When I think about climate change, I think of a word as well: “jobs.”
 
Good-paying, union jobs that put Americans to work. https://t.co/AKl9jZKB0s",2020-07-14 18:30:00,6939,27604,False,1283106488328900615
"Every few weeks when he needs a distraction from the latest charge of corruption in his staff — or the conviction of high ranking members of his administration — Donald Trump announces it’s “Infrastructure Week.”

He's never delivered. I know how to get it done.",2020-07-14 18:25:00,14555,69948,False,1283105229156696064
We can’t just build things back to the way they were — we’ve got to build America back better. Tune in as I deliver remarks on how we're going to invest in infrastructure and clean energy and create millions of jobs in the process: https://t.co/c3kocZapIH,2020-07-14 18:01:56,3945,13859,False,1283099425275961344
"I want every single American to know: If you're sick, struggling, or worried about how you're going to get through the day, I will not abandon you.

We're all in this together. And together, we'll emerge stronger than before. https://t.co/NUg03vokKp",2020-07-14 13:42:00,15466,58869,False,1283034009895751680
We shouldn't have to beg this president to listen to the experts.,2020-07-14 01:15:00,31008,208780,False,1282846021169508352
The hard truth is it didn't have to be this bad. But Donald Trump has squandered every chance he's had to contain the spread of this virus. https://t.co/lV8cjQbAO9,2020-07-13 23:06:02,15883,68430,False,1282813568535203840
America can’t sit on the sidelines in the race for the future. My administration will invest $300 billion in research and development over four years to secure our global leadership and create millions of good-paying jobs. https://t.co/xx2oLJ8VEt,2020-07-13 20:25:00,5666,21564,False,1282773040187805700
"""We're leading the world."" https://t.co/QQzaQeKAUj",2020-07-13 19:15:00,16570,50317,False,1282755424177893376
Donald Trump needs to spend less time playing golf and more time listening to experts like Dr. Fauci.,2020-07-13 16:30:00,33932,228599,False,1282713901671604224
"In January, I sounded the alarm regarding COVID-19. 

Over five months later, President Trump still hasn't taken the action needed to respond to the virus. It's unacceptable.

This president has failed the American people every step of the way. https://t.co/PH4vF5KLuI",2020-07-13 14:30:00,12972,53227,False,1282683703190188032
"The stakes couldn't be higher this November. Time and time again, Donald Trump has failed the people of Puerto Rico.

As President, I'll spur economic development on the island and expand access to health care.",2020-07-13 01:20:00,11632,64672,False,1282484891603447808
"Together, we're going to build a new American economy: https://t.co/RvfzbDN7dP https://t.co/5TePAe7tbY",2020-07-13 00:15:00,6135,20910,False,1282468533838860288
"It's hard to believe this has to be said, but unlike this president, I'll actually listen to the experts and heed their advice. Not silence them. https://t.co/AkLFevCI6b",2020-07-12 22:48:04,21814,106560,False,1282446656303243264
"Mohamed Amashah is finally home after 486 days in Egyptian prison for holding a protest sign. Arresting, torturing, and exiling activists like Sarah Hegazy and Mohamed Soltan or threatening their families is unacceptable. No more blank checks for Trump’s ""favorite dictator."" https://t.co/RtZkbGh6ik",2020-07-12 20:59:58,5456,20458,False,1282419453939113989
"Ignore the polls.

We’ve got work to do: https://t.co/GCxsKwFY4h https://t.co/fnJezEaAg5",2020-07-12 20:20:09,19940,89888,False,1282409432677257216
"Health care is personal to me. And as president, I'll do everything I can to make sure every American has access to the care they need. https://t.co/Rmwsmx54KW",2020-07-12 18:47:00,8057,31071,False,1282385989852295168
"We need a president who will always choose to unite rather than divide, because there’s nothing we can’t accomplish when we do it together.",2020-07-12 17:31:00,20449,133610,False,1282366864052518912
"To all the nurses on the frontlines of this fight, thank you. You are American heroes. https://t.co/fgTDhXU72C",2020-07-12 14:50:00,14070,56901,False,1282326347201863680
"Donald Trump is the worst possible person to lead us through this moment.

We need real leadership, right now. Lives are at stake. https://t.co/7mJYPGLGq7",2020-07-12 00:30:00,13610,64236,False,1282109920712642561
"Back in January, when President Trump signed his hollow ""phase one"" trade deal with Beijing, I made clear that no one should be fooled by Trump's empty promises to deliver a meaningful “phase two"" deal.

Good to see that he's finally admitting I was right. https://t.co/Us8t3Z0KfA",2020-07-11 22:30:00,7047,25418,False,1282079721875021826
"I’ve said it before, and I’ll say it again: Donald Trump is the most corrupt president in modern American history. Every day that he remains in office, he further threatens the future of our democracy.

We have to vote him out this November. https://t.co/FuoAnNzgHG",2020-07-11 20:46:28,24317,119688,False,1282053668280434689
"I have no illusion about how tough the road ahead is. But I’m optimistic for one reason above all others: I know the history and the heart of this country.

Given a chance, ordinary Americans can do extraordinary things. https://t.co/448jA7xlY3",2020-07-11 20:07:00,7301,29177,False,1282043734742507520
"This was almost two months ago. 

Since then? Tens of thousands more lives lost. A million and a half new cases.

The President? Still golfing. https://t.co/rHvIX80tLA",2020-07-11 17:33:00,13548,37393,False,1282004979457433601
"The United States has over 3 million cases of COVID-19, and over 130,000 people have died — yet Donald Trump continues to say it will just ""fade away."" It’s unbelievable.

We're paying the price for this president's incompetence every single day.",2020-07-11 17:00:01,27230,132019,False,1281996678980005889
"I see a different America than President Trump. One that, despite all our flaws and shortcomings and failings, is still after more than two centuries dedicated to equality, liberty, human dignity, and justice.

I know we can reach our highest ideals — together.",2020-07-11 14:40:00,14469,82391,False,1281961442460291074
Still true. https://t.co/3zbAD3uXzq,2020-07-11 02:38:57,11976,62620,False,1281779986693787653
"Determination. Resilience. Grit. The strength to get up no matter how many times you’ve been knocked down. Respect for hard work, and for the people who do it.
 
Those are the values I learned growing up in Scranton — and they're the values I’ll take to the Oval Office.",2020-07-10 23:07:00,9932,51109,False,1281726645376819202
This is what “America First” looks like under President Trump: https://t.co/jSmJOeG13G,2020-07-10 20:54:00,18583,48845,False,1281693174696759298
"Through every trial and tribulation, we've always emerged stronger — and we will again.",2020-07-10 19:12:00,10536,67977,False,1281667505790967808
"Let’s use this opportunity to make bold investments in American industry and innovation so the future is made in America — and in all of America.

https://t.co/uTI6Gydi1n https://t.co/8F8Uj2a3BI",2020-07-10 17:05:00,3818,14085,False,1281635545408393217
"Here's my promise to you: If I have the honor of being elected president, I will take care of your family like I would my own. https://t.co/vYmVUdMLO7",2020-07-10 14:55:00,27529,96363,False,1281602829443112966
The American people deserve to know what Donald Trump is hiding in his tax returns.,2020-07-10 00:27:00,33669,217632,False,1281384390019489792
We can't just build back to the way things were before these crises — we have to build back better.,2020-07-09 23:22:00,12632,82760,False,1281368032405671936
This is our moment to imagine and build a new American economy — one where everyone gets a fair return for their work and an equal chance to get ahead. https://t.co/BPUISe4Fd6,2020-07-09 22:10:00,5688,21566,False,1281349912848809984
"I do not buy for one second that the vitality of American manufacturing is a thing of the past.
 
American manufacturing was the Arsenal of Democracy in World War II, and must be part of the engine of American prosperity now.",2020-07-09 20:55:00,8904,50669,False,1281331038476619776
We can't just focus on the jobs of today — we have to also focus on the jobs and industries of tomorrow. I'll make a historic $300 billion investment in research and development that will spur innovation and help create 3 million jobs across the nation. https://t.co/o29BPuYSlb,2020-07-09 20:35:00,2912,11894,False,1281326005609615360
"American workers can out-compete anyone, but they need a government that fights for them. I'll revitalize American manufacturing — especially smaller manufacturers and those owned by women and people of color — and ensure the future is made here in America. https://t.co/lJQBsnRN75",2020-07-09 20:30:00,3756,15709,False,1281324747461197825
"When we spend taxpayer money, we should use it to buy American products &amp; support American jobs.

But under Trump, the rate of federal contractors offshoring jobs more than doubled. It's unacceptable.

I'll invest $400 billion in American-made products &amp; keep jobs here at home. https://t.co/iNpPuMzFqC",2020-07-09 20:25:00,3996,14310,False,1281323488846860288
"I'm in Dunmore, Pennsylvania, to discuss my plan to create jobs, raise wages, and help America build back better. Tune in to watch: https://t.co/fSHMWax1u6",2020-07-09 19:02:47,4651,19978,False,1281302797535727617
"We're in the middle of an economic crisis. But it's not enough to just turn things around — we have to build back better. We have to revitalize American manufacturing and make sure the future is made in America — by all of America.

Here's how we'll do it: https://t.co/lPgZPDPC98 https://t.co/ZjJ3pKiLrK",2020-07-09 15:45:00,3938,14620,False,1281253024808271878
The future must be made in America — by all of America. Here's how we'll do it: https://t.co/lPgZPE7d0G https://t.co/KERhYFcXAY,2020-07-09 15:15:00,8153,22859,False,1281245474909913088
As I was saying. https://t.co/NwOKjL0Zhj,2020-07-09 14:23:28,51683,226484,False,1281232505362952193
Four years of Betsy DeVos is more than enough. We need a Secretary of Education who is actually a public school educator.,2020-07-09 00:25:00,62606,391979,False,1281021498933690368
"I commend the Task Forces for their service and for helping build a bold, transformative platform for our party and for our country. And I am deeply grateful to @BernieSanders for working with us to unite our party and deliver real, lasting change for generations to come. https://t.co/J2LN6cKBhT",2020-07-08 23:23:05,5475,24597,False,1281005917224435722
Increased testing isn’t the reason for the surge in coronavirus cases — Donald Trump's failed leadership is. https://t.co/j7vKxnlaj4,2020-07-08 22:55:00,12804,51790,False,1280998849730039810
"Trump launched his 2016 campaign by calling Mexicans rapists.

He's spread racism against our Latino community ever since.

We need to work in partnership with Mexico.

We need to restore dignity and humanity to our immigration system.

That's what I'll do as President.",2020-07-08 21:18:00,21127,100795,False,1280974438993997829
Let me be clear: No one should be forced out of their home in the middle of a pandemic because they can’t pay rent. https://t.co/0NJ9ao7HON,2020-07-08 19:44:00,6660,27082,False,1280950782909538304
"When there were 15 cases, the President said it wouldn't spread any farther. 

We just hit our 3 millionth case.

We're paying for his failure. https://t.co/gYwTWZyYOs",2020-07-08 17:56:00,21095,86166,False,1280923603744296962
".@AdyBarkan — The courage you show every day is an inspiration to so many, and I'm grateful to have you by my side in this fight. We may not agree on everything, but this we do: Health care is a right — not a privilege. And we're going to make that a reality, together. https://t.co/5fVic34K89",2020-07-08 15:33:02,7082,29674,False,1280887625147191296
This is a national disgrace. We have to ensure these communities get the care they need immediately — and then tackle racial disparities in health care and our economy head-on. https://t.co/e4QbS4p0wZ,2020-07-08 01:00:00,7387,32357,False,1280667921916854273
The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care for them when they come home. We need a president who will honor that obligation. https://t.co/UMrDVwHaD3,2020-07-07 23:55:00,15687,54700,False,1280651561518002177
"Across the world, people come to this country with unrelenting optimism and determination toward the future. They study here, innovate here, they make America who we are. Donald Trump doesn't get that — we need a president who does. https://t.co/0VK0MCXMVq",2020-07-07 21:50:49,6839,27646,False,1280620310539231237
"Americans are safer when America is engaged in strengthening global health. On my first day as President, I will rejoin the @WHO and restore our leadership on the world stage. https://t.co/8uazVIgPZB",2020-07-07 20:44:53,20652,108399,False,1280603719831359489
"We've seen what happens when the federal government fails to secure sufficient supplies of critical products like PPE — and we can't let it happen again. So today, I'm releasing my plan to rebuild U.S. supply chains: https://t.co/5RXYqQcqmn",2020-07-07 19:30:00,4001,14679,False,1280584871841165312
Donald Trump needs to do his job.,2020-07-07 18:45:00,19051,167102,False,1280573547644141569
Character belongs in the White House. https://t.co/Bz1syMprhJ,2020-07-07 17:22:00,10344,44245,False,1280552659565469697
"To beat COVID-19, we need a coordinated national response from the federal government — but Donald Trump refuses to do his job. I've laid out exactly what I would do, and I encourage this president to adopt the plan in its entirety: https://t.co/SOVOPL7uPy",2020-07-07 15:33:00,6711,25628,False,1280525229106708483
"There’s enormous opportunity once we defeat Donald Trump. We are going to build our health care system, our economy, and our country back better than they've ever been before.",2020-07-07 01:00:00,19758,130421,False,1280305532843298816
The nation is crying out for leadership — leadership that can unite us and bring us together. But this president has nothing to offer. https://t.co/rzV0GdOqHN,2020-07-06 23:17:00,13876,47508,False,1280279610505084928
"With COVID-19 surging across the nation, Donald Trump should be doing everything in his power to increase access to testing. Instead, he's doing the opposite. It's despicable.",2020-07-06 20:20:00,21498,115792,False,1280235066975797251
It didn't have to be this bad. But Donald Trump failed to do his job — and we're all paying the price. https://t.co/OXONhAWNqy,2020-07-06 17:35:00,11533,34839,False,1280193543357648896
We can’t afford four more years of Donald Trump. https://t.co/12yF31aLSz,2020-07-06 15:16:00,16384,56006,False,1280158562891599873
"We're going to beat Donald Trump. And when we do, we won't just rebuild this nation — we'll transform it.",2020-07-06 00:00:00,36828,261162,False,1279928045093228545
"There are so many unsung heroes in our communities, especially in times of crisis. We owe Alassane and countless others a debt of gratitude — and I'll fight for them every day in the White House. https://t.co/tUwZYpeoNW",2020-07-05 22:00:00,5435,18791,False,1279897844837683203
"On this Venezuelan Independence Day, my thoughts are with Venezuelans who continue to work tirelessly for the cause of democracy. It’s time for free and fair elections so that the Venezuelan people can turn the page on the corrupt and repressive Maduro regime.",2020-07-05 21:10:54,5947,32448,False,1279885489554755594
"COVID-19 is surging across the nation, and this president is doubling down on his efforts to rip health insurance and protections away from millions. It's heartless and cruel and must be stopped.",2020-07-05 20:00:00,19266,91717,False,1279867648218664960
"Donald Trump wants to declare this health crisis over and unemployment solved so that he can get back to his campaign rallies. But he’s wrong — on both fronts.

We need a president who will actually do the work needed to get us through these crises.",2020-07-05 18:00:00,18977,96943,False,1279837447732396033
"The hard truth is that it didn’t have to be this bad, but Donald Trump ignored the warnings and refused to take action. He failed our nation. https://t.co/AcY62E8L2L",2020-07-05 16:02:00,13765,52793,False,1279807751426674688
I’ve carried the middle class values that my parents instilled in me my entire life — and they’re the values I’ll bring to the White House. https://t.co/WPIzFPD9Mv,2020-07-05 14:50:00,12129,50556,False,1279789631853101058
"Make no mistake, our best days still lie ahead. If we come together as one America, there’s not a single thing we cannot do.",2020-07-05 00:00:00,17352,119827,False,1279565656120229889
The health care workers on the frontlines of this fight are some of the greatest heroes our nation has ever seen. https://t.co/Ry6TvJcbuU,2020-07-04 22:00:00,7379,27040,False,1279535459924946947
"America was founded on the promise of equality, liberty, and justice for all — and it's long past time we lived up to it.",2020-07-04 20:00:00,15987,95586,False,1279505259854008320
American history isn’t a fairytale. The battle for the soul of this nation has been a constant push-and-pull for more than 240 years. But it’s a battle we can and will win — together.,2020-07-04 18:00:00,11755,64320,False,1279475061796167681
"This Fourth of July, one of the most patriotic things you can do is wear a mask.",2020-07-04 16:00:00,36694,265611,False,1279444860957626370
"Our nation was founded on a simple idea: We're all created equal. We've never lived up to it — but we've never stopped trying. This Independence Day, let's not just celebrate those words, let's commit to finally fulfill them. Happy #FourthOfJuly! https://t.co/1WrATlx8Xl",2020-07-04 14:00:01,37027,124360,False,1279414665542381568
"“If you put the wrong person in office, you'll see things that you would not have believed are possible."" https://t.co/8gDSbOJbeS",2020-07-03 23:34:32,38174,111291,False,1279196860847095809
"It didn't have to be this bad. But month after month, as other leaders in other countries took the necessary steps to get the virus under control, Donald Trump failed us.

Here's what I'll do as president: https://t.co/xsCrfzWnxC",2020-07-03 23:15:00,8510,33842,False,1279191943747194881
"It’s abundantly clear that this virus isn’t going to just “fade away,” Mr. President. It’s time for you to step up, take action, and lead. https://t.co/8UlIAKzv1q",2020-07-03 20:45:00,6996,31695,False,1279154194709016576
