text,created_at,retweet_count,favorite_count,is_retweet,id_str
"On July 1st, Donald Trump predicted the coronavirus was going to ""just disappear.""

He was wrong — and more than 25,000 Americans died due to the virus last month.

Mr. President, step up and do your job before even more American families feel the pain of losing a loved one.",2020-08-04 11:30:00,13828,70832,False,1290610936022171655
"When we spend taxpayer money, we should use it to buy American products and support American jobs. Period.

We’re going to make sure the future is made in America — by all of America: https://t.co/uTI6GyuTpX",2020-08-04 01:39:00,3543,13624,False,1290462206094708739
"Not a joke, folks.

Get yours today: https://t.co/RqCQJE8Kho https://t.co/A1CNMOu2ct",2020-08-04 01:02:00,3331,15475,False,1290452895385583616
"Every American should be able to safely make their voice heard this November. We need to:

- Expand vote-by-mail and early voting
- Implement online voter registration
- Make it safe and easy to vote in-person",2020-08-03 23:45:00,12403,59139,False,1290433517000613890
Jill and I mourn the loss of the nine service members who perished in a training accident off the coast of California. These brave young men made the ultimate sacrifice in service to their fellow Americans. Our deepest condolences go out to their families.,2020-08-03 23:08:00,16774,105807,False,1290424205633368066
"John Hume committed his life to the principles of nonviolence, and through his faith, statesmanship, and perseverance, he helped bring Northern Ireland through the Troubles to a better tomorrow. Jill and I send our condolences to the entire Hume family. https://t.co/5QmRsj2fSb",2020-08-03 21:40:00,3245,16912,False,1290402059905376259
"In the days that followed the El Paso shooting, I said Americans have to come together, stand against hate, and leave nobody behind.

That charge feels more important than ever. This is our fight — and together, we will win. https://t.co/eX2xD0jhjX",2020-08-03 20:25:00,3092,12032,False,1290383185432305666
"It's hard to believe this has to be said, but if I'm elected president, I’ll spend my Monday mornings working with our nation’s top experts to control this virus — not insulting them on Twitter. https://t.co/o7p3e0kgRJ",2020-08-03 18:16:00,28425,147689,False,1290350721515139072
"This is a moment to summon the purpose we felt one year ago after El Paso. A moment to recommit to the battle for the soul of this nation. A battle against white supremacy, hatred, and gun violence.

It won't be easy — but it's a battle we must win.",2020-08-03 17:22:00,7877,38183,False,1290337132339486722
"One year ago, a white supremacist armed with a semi-automatic rifle targeted the people of El Paso. He thought his hatred of Latinos and immigrants would prove more powerful than the culture and vibrancy of the community.

He was wrong. https://t.co/d7ISze6dK7",2020-08-03 15:42:00,8969,33282,False,1290311966247006209
"Folks, there's simply too much at stake this November for anyone to sit on the sidelines. Register to vote today — and then reach out to five friends and get them registered as well. https://t.co/8XWNjhwJzL",2020-08-02 23:45:00,15144,58312,False,1290071129172791296
"Welcome home, Bob and Doug! The first American splashdown in 45 years was executed with precision, and is truly a victory for American innovation and persistence. Congratulations to everyone involved on a successful conclusion to this historic mission. https://t.co/kYBNCHL75O",2020-08-02 21:09:00,8827,48378,False,1290031870596403200
Join us as we host a roundtable with Congresswoman Veronica Escobar to commemorate the anniversary of the El Paso Massacre: https://t.co/LPA5wDYvNF,2020-08-02 21:03:15,1759,6308,False,1290030423951646720
It’s not enough to just go back to the way things were before these crises — we need to build back better than ever. We have to create a new American economy where everyone gets a fair return for their work and an equal chance to get ahead.,2020-08-02 19:00:00,14920,86440,False,1289999407979454465
"Now more than ever, we need a president who believes in science.",2020-08-02 16:40:00,32887,262248,False,1289964174575976449
This pandemic has put a bright light on the disparities that have plagued our nation for too long. We’ve got to make sure these communities get the help they need now — and root out the systemic racism that created these inequalities in the first place. https://t.co/KZZx2T9ojT,2020-08-02 14:35:00,7479,28247,False,1289932717417734144
